Episode,Reward
0,-807.662662
1,-588.683467
2,-738.35059
3,-656.217362
4,-486.150712
5,-396.013494
6,-227.079512
7,-233.740385
8,-261.098645
9,-404.70175
10,-325.479898
11,-232.672659
12,-305.650866
13,-182.786792
14,-120.826683
15,-162.143063
16,-78.645531
17,-136.593855
18,-107.507421
19,-75.425058
20,-77.658476
21,-82.544971
22,-64.922314
23,-73.571179
24,-69.589922
25,-51.28797
26,-58.116441
27,-63.145656
28,-51.654057
29,-42.410578
30,-63.922383
31,-83.769704
32,-60.54597
33,-107.550012
34,-52.72145
35,-31.48894
36,-60.027825
37,-79.487594
38,-63.933713
39,-48.383651
40,-35.856517
41,-50.298883
42,-73.010943
43,-86.558054
44,-52.709909
45,-48.302139
46,-65.076221
47,-52.506493
48,-35.199179
49,-49.043289
50,-60.894401
51,-51.693748
52,-36.827277
53,-49.373325
54,-42.788243
55,-54.844276
56,-36.68295
57,-38.680355
58,-52.239922
59,-51.117849
60,-38.186334
61,-30.052179
62,-53.649611
63,-53.847642
64,-79.96845
65,-50.713069
66,-52.234802
67,-46.781201
68,-41.917342
69,-49.619406
70,-54.162541
71,-42.667276
72,-43.672316
73,-42.393068
74,-43.432001
75,-36.433833
76,-46.277963
77,-45.856637
78,-43.146369
79,-57.270246
80,-42.632352
81,-40.8941
82,-47.425718
83,-45.365926
84,-39.323116
85,-34.742809
86,-29.026398
87,-43.541515
88,-29.115352
89,-41.094926
90,-33.911731
91,-20.587977
92,-82.139793
93,-35.664184
94,-58.04995
95,-25.750685
96,-26.313568
97,-25.676668
98,-19.579417
99,-59.534551
100,-48.932432
101,-18.23127
102,-34.869641
103,-43.011448
104,-34.696374
105,-42.177236
106,-28.241058
107,-46.087102
108,-44.232052
109,-40.817895
110,-29.832029
111,-46.699714
112,-30.05341
113,-40.71161
114,-24.042576
115,-35.524667
116,-25.489322
117,-24.654646
118,-39.90147
119,-24.96304
120,-56.771974
121,-32.068154
122,-47.609173
