Episode,Reward
0,-706.20826
1,-757.982642
2,-466.505116
3,-561.420455
4,-983.254576
5,-297.679656
6,-471.871589
7,-346.587756
8,-498.621662
9,-309.45509
10,-183.537992
11,-205.185804
12,-186.261959
13,-130.493998
14,-142.238239
15,-136.903518
16,-124.828903
17,-132.990215
18,-130.454704
19,-170.836066
20,-108.559025
21,-114.570193
22,-46.982551
23,-63.436242
24,-69.168545
25,-39.468821
26,-50.731759
27,-51.685995
28,-28.377249
29,-44.932359
30,-39.087545
31,-32.037614
32,-25.571559
33,-34.791379
34,-41.848065
35,-32.651856
36,-29.617003
37,-36.725143
38,-37.111868
39,-35.916897
40,-32.260483
41,-31.105773
42,-27.115559
43,-35.158354
44,-30.078422
45,-23.682188
46,-20.413624
47,-40.851764
48,-32.83634
49,-49.195944
50,-24.855579
51,-27.331038
52,-34.764595
53,-41.662228
54,-32.657048
55,-24.182105
56,-26.13058
57,-21.060981
58,-27.775738
59,-24.785574
60,-27.343958
61,-18.77274
62,-21.900718
63,-30.200839
64,-47.134784
65,-29.148908
66,-29.241023
67,-20.069889
68,-21.730399
69,-17.573608
70,-17.840391
71,-22.674783
72,-28.033686
73,-30.068204
74,-18.702606
75,-21.206571
76,-28.80327
77,-17.240798
78,-20.264106
79,-20.043784
80,-28.69864
81,-24.54527
82,-20.857195
83,-17.529563
84,-19.87826
85,-16.898604
86,-103.881199
87,-50.657839
88,-19.586895
89,-15.434163
90,-21.496679
91,-19.39318
92,-28.446047
93,-17.2815
94,-25.299403
95,-20.261123
96,-21.291963
97,-20.505762
98,-22.077629
99,-20.515575
100,-15.881895
101,-18.297254
102,-20.104528
103,-31.289486
104,-20.960112
105,-19.078991
106,-19.471672
107,-18.386331
108,-27.486923
109,-31.084609
110,-15.904856
111,-18.894133
112,-27.942934
113,-19.308299
114,-17.061499
115,-18.072336
116,-19.344269
117,-19.488327
118,-17.8863
119,-28.259426
120,-17.932841
121,-16.454452
122,-19.52419
123,-31.159413
124,-17.606105
125,-31.542515
126,-25.715701
127,-16.544597
128,-16.514908
129,-16.729709
130,-24.65009
131,-15.852204
132,-14.523814
133,-17.301806
134,-17.574624
135,-13.580791
136,-13.459424
137,-17.033311
138,-13.580918
139,-17.974866
140,-15.602119
141,-16.688426
142,-16.340305
143,-18.662263
144,-24.507875
145,-17.532023
146,-19.189431
147,-16.658511
148,-14.371632
149,-16.104277
150,-14.436631
151,-16.923135
152,-14.343878
153,-29.943421
154,-19.052222
155,-17.163247
156,-15.753893
157,-28.001537
158,-15.18371
159,-13.92385
160,-26.629541
161,-17.410267
162,-15.354374
163,-14.58267
164,-14.801403
165,-15.278659
166,-16.795334
167,-17.631174
168,-17.633981
169,-15.165094
170,-17.229842
171,-17.262324
172,-16.202564
173,-15.577348
174,-15.228996
175,-17.163923
176,-14.784769
177,-16.640594
178,-26.157539
179,-13.675569
180,-15.966682
181,-17.428621
182,-16.98925
183,-26.879543
184,-29.690794
185,-15.37859
186,-12.218842
187,-16.981076
188,-14.702474
189,-12.37483
190,-29.694571
191,-13.021498
192,-14.467711
193,-15.338305
194,-31.357942
195,-16.702244
196,-13.917456
197,-13.48674
198,-27.072583
199,-15.81882
200,-27.062073
201,-15.365566
202,-24.851027
203,-11.72726
204,-17.096317
205,-14.164732
206,-26.25775
207,-13.988097
208,-26.945702
209,-14.842135
210,-16.555775
211,-15.331341
212,-19.122536
213,-14.414402
214,-14.177858
215,-13.946455
216,-14.717186
217,-12.902419
218,-14.456239
219,-13.44298
220,-15.742995
221,-15.824181
222,-13.935666
223,-14.142616
224,-31.623344
225,-15.164724
226,-12.556498
227,-14.698513
228,-13.074043
229,-16.049354
230,-16.236954
231,-13.410756
232,-12.747147
233,-13.436576
234,-14.102829
235,-15.116978
236,-15.701315
237,-14.430125
238,-14.196492
239,-13.507835
240,-11.309404
241,-11.215109
242,-19.113606
243,-31.463414
244,-13.876313
245,-15.201607
246,-14.157599
247,-12.197335
248,-14.822424
249,-28.17942
250,-30.090359
251,-13.987541
252,-13.571695
253,-13.198968
254,-12.211095
255,-13.011164
256,-14.986923
257,-14.777979
258,-15.036408
259,-26.854955
260,-27.69917
261,-16.76589
262,-11.634059
263,-13.331288
264,-15.451539
265,-13.563559
266,-12.305368
267,-14.440885
268,-10.296407
269,-11.39078
270,-12.446585
271,-22.457507
272,-12.560679
273,-13.894376
274,-13.781399
275,-10.076134
276,-27.350277
277,-13.719935
