Episode,Reward
0,-88.08961
1,-88.08961
2,-88.08961
3,-88.08961
4,-88.08961
5,-88.08961
6,-88.08961
7,-88.08961
8,-88.08961
9,-88.08961
10,-88.08961
11,-88.08961
12,-88.08961
13,-88.08961
14,-88.08961
15,-88.08961
16,-88.08961
17,-88.08961
18,-88.08961
19,-88.08961
20,-88.08961
21,-88.08961
22,-88.08961
23,-88.08961
24,-88.08961
25,-88.08961
26,-88.08961
27,-88.08961
28,-88.08961
29,-88.08961
30,-88.08961
31,-88.08961
32,-88.08961
33,-88.08961
34,-88.08961
35,-88.08961
36,-88.08961
37,-88.08961
38,-88.08961
39,-88.08961
40,-88.08961
41,-88.08961
42,-88.08961
43,-88.08961
44,-88.08961
45,-88.08961
46,-88.08961
47,-88.08961
48,-88.08961
49,-88.08961
50,-88.08961
51,-88.08961
52,-88.08961
53,-88.08961
54,-88.08961
55,-88.08961
56,-88.08961
57,-88.08961
58,-88.08961
59,-88.08961
60,-88.08961
61,-88.08961
62,-88.08961
63,-88.08961
64,-88.08961
65,-88.08961
66,-88.08961
67,-88.08961
68,-88.08961
69,-88.08961
70,-88.08961
71,-88.08961
72,-88.08961
73,-88.08961
74,-88.08961
75,-88.08961
76,-88.08961
77,-88.08961
78,-88.08961
79,-88.08961
80,-88.08961
81,-88.08961
82,-88.08961
83,-88.08961
84,-88.08961
85,-88.08961
86,-88.08961
87,-88.08961
88,-88.08961
89,-88.08961
90,-88.08961
91,-88.08961
92,-88.08961
93,-88.08961
94,-88.08961
95,-88.08961
96,-88.08961
97,-88.08961
98,-88.08961
99,-88.08961
100,-88.08961
101,-88.08961
102,-88.08961
103,-88.08961
104,-88.08961
105,-88.08961
106,-88.08961
107,-88.08961
108,-88.08961
109,-88.08961
110,-88.08961
111,-88.08961
112,-88.08961
113,-88.08961
114,-88.08961
115,-88.08961
116,-88.08961
117,-88.08961
118,-88.08961
119,-88.08961
120,-88.08961
121,-88.08961
122,-88.08961
123,-88.08961
124,-88.08961
125,-88.08961
126,-88.08961
127,-88.08961
128,-88.08961
129,-88.08961
130,-88.08961
131,-88.08961
132,-88.08961
133,-88.08961
134,-88.08961
135,-88.08961
136,-88.08961
137,-88.08961
138,-88.08961
139,-88.08961
140,-88.08961
141,-88.08961
142,-88.08961
143,-88.08961
144,-88.08961
145,-88.08961
146,-88.08961
147,-88.08961
148,-88.08961
149,-88.08961
150,-88.08961
151,-88.08961
152,-88.08961
153,-88.08961
154,-88.08961
155,-88.08961
156,-88.08961
157,-88.08961
158,-88.08961
159,-88.08961
160,-88.08961
161,-88.08961
162,-88.08961
163,-88.08961
164,-88.08961
165,-88.08961
166,-88.08961
167,-88.08961
168,-88.08961
169,-88.08961
170,-88.08961
171,-88.08961
172,-88.08961
173,-88.08961
174,-88.08961
175,-88.08961
176,-88.08961
177,-88.08961
178,-88.08961
179,-88.08961
